"Timestamp","Overall, I’m a pretty positive person, and I believe in my potential.","I believe that if you work hard at something there will always be a degree of progress.","My intelligence isn’t fixed, and I can become smarter.","I like to be left alone to get on with my job.","I seek the approval of others- it matters to me that my colleagues think highly of me.","I take feedback as a chance to grow and improve what I’m doing. ","I enjoy teaching others, since it helps me grow my own skills and abilities.","I am better at starting new projects than completing them.","There are things that no matter how hard you work you cannot improve.","The harder I work at something, the better I can be at it.","It was easier to be productive pre covid than in the online age of learning.","I've found better ways to spend my time and remain constructive during lockdown and quarantine. ","I have significantly grown to understand my personality and how it affects my workstyle.","The lockdown and quarantine put me in a more monotonous routine that was mentally draining. ","I am currently pursuing my degree in B.Tech Degree in the year:","I chose this career path and I'm content with my choice.","I often find myself reevaluating my career choice. ","Regardless of my interest in my career field I manage to learn and understand my curriculum. ","I enjoy learning and researching over various subfields or topics in my career field. ","I might not enjoy learning my curriculum but I enjoy the field of study in general. ( You might not particularly enjoy some subjects in IT but you enjoy doing web development)","I can visualize my career goal and the need to continue learning even when I experience failure. ","I feel good about myself when I am able to complete my work with ease.","My grades don't reflect my true potential in the field and I believe I will perform better in industries.","Please enter your current CGPA ","I feel like I struggle to be creative and innovative in my class subjects and often rely on online material. ","I struggle to enjoy my classes and often feel frustrated by the course. ","It is extremely important for me to pursue this career field regardless of my interest. ","I would appreciate help and guidance to change my work style in order to achieve my career goals. ","If I had a choice to switch to a field of my liking I would go for it in order to feel more satisfied ","My school performance during high school between 10th to 12th grade were a lot better than my current performance in college","Please enter your percentage (percentage only) from grade 10th","Please enter your percentage (percentage only) from grade 12th","I wish to seek help with being able to remain goal driven and enthusiastic towards my career aspirations. "
"2021/04/09 12:50:31 PM GMT+5:30","(5) Strongly agree","(4) Agree","(2) Disagree","(4) Agree","(5) Strongly agree","(4) Agree","(2) Disagree","(4) Agree","(3) Neutral","(4) Agree","","","","","Third Year","(2) Disagree","(4) Agree","(4) Agree","(4) Agree","","(4) Agree","(4) Agree","(5) Strongly Agree","6.2","(5) Strongly Agree","(5) Strongly Agree","(5) Strongly Agree","","","","","",""
"2021/04/09 1:45:12 PM GMT+5:30","(5) Strongly agree","(5) Strongly agree","(5) Strongly agree","(3) Neutral","(5) Strongly agree","(4) Agree","(4) Agree","(3) Neutral","(2) Disagree","(1) Strongly disagree","","","","","Fourth Year","(4) Agree","(2) Disagree","(4) Agree","(3) Neutral","(5) Strongly Agree","(5) Strongly Agree","(3) Neutral","(5) Strongly Agree","","(2) Disagree","(4) Agree","(1) Strongly disagree","","","","","",""
"2021/04/09 3:10:37 PM GMT+5:30","5","4","5","4","5","4","4","5","4","4","","","","","Third Year","1","5","4","4","2","4","4","5","6.2","5","5","5","5","","","","",""
"2021/04/09 3:26:07 PM GMT+5:30","4","4","5","5","5","4","5","2","5","4","","","","","Fourth Year","4","5","5","5","4","4","5","5","7.51","2","4","4","4","","","","",""
"2021/04/09 3:49:05 PM GMT+5:30","4","5","5","4","4","4","5","4","2","5","","","","","Third Year","4","1","5","5","5","4","5","5","8.65","4","2","1","5","","","","",""
"2021/04/09 3:49:09 PM GMT+5:30","4","4","2","3","4","4","5","3","3","4","","","","","Third Year","3","4","4","4","4","3","5","4","8.63","4","3","3","5","","","","",""
"2021/04/09 3:55:09 PM GMT+5:30","5","5","5","3","4","5","3","4","1","5","","","","","Third Year","4","4","4","5","5","4","5","5","7.77","2","4","3","5","","","","",""
"2021/04/09 3:58:17 PM GMT+5:30","4","5","5","3","2","4","3","2","4","5","","","","","Fourth Year","4","2","4","2","4","4","5","4","7.7","4","2","2","5","","","","",""
"2021/04/09 3:59:11 PM GMT+5:30","4","5","5","1","4","4","5","5","4","5","","","","","Third Year","5","5","5","3","5","5","4","4","7","5","5","4","4","","","","",""
"2021/04/09 4:02:22 PM GMT+5:30","5","5","5","3","1","4","5","2","1","5","","","","","Third Year","5","1","4","5","5","5","5","5","7.20","2","4","1","4","","","","",""
"2021/04/09 4:07:50 PM GMT+5:30","4","4","4","1","2","5","5","2","3","5","","","","","Fourth Year","5","1","4","4","4","4","4","4","7.27","2","2","2","5","","","","",""
"2021/04/09 4:22:02 PM GMT+5:30","3","4","5","5","3","4","5","4","5","4","","","","","Fourth Year","4","2","5","3","5","4","5","5","8.18","4","4","5","5","","","","",""
"2021/04/09 4:22:55 PM GMT+5:30","4","5","5","5","3","4","4","3","2","5","","","","","Fourth Year","5","2","5","4","4","5","5","5","9.2","5","3","3","4","","","","",""
"2021/04/09 4:24:38 PM GMT+5:30","4","5","4","5","3","5","4","2","1","5","","","","","Third Year","4","1","4","3","4","4","5","5","8.14","3","3","1","5","","","","",""
"2021/04/09 4:24:52 PM GMT+5:30","4","5","5","4","4","2","5","4","5","4","","","","","Fourth Year","4","3","3","5","4","3","5","2","7.53","5","4","2","5","","","","",""
"2021/04/09 4:25:42 PM GMT+5:30","2","5","5","3","4","5","4","4","2","5","","","","","Fourth Year","4","5","4","3","4","4","5","5","8.06","4","4","4","4","","","","",""
"2021/04/09 4:31:20 PM GMT+5:30","3","5","4","4","4","4","3","2","2","5","","","","","Fourth Year","1","1","3","4","4","2","4","4","7.04","5","4","1","5","","","","",""
"2021/04/09 4:51:07 PM GMT+5:30","5","5","5","3","2","5","5","1","3","4","","","","","Fourth Year","5","1","4","5","5","5","5","1","7.99","4","2","3","5","","","","",""
"2021/04/09 5:01:10 PM GMT+5:30","5","5","5","3","5","5","5","5","1","5","","","","","Fourth Year","4","2","2","5","5","4","5","3","7.58","1","5","5","5","","","","",""
"2021/04/09 6:07:18 PM GMT+5:30","4","5","5","5","3","4","4","3","2","5","","","","","Fourth Year","5","2","5","4","4","5","5","5","9.2","5","3","3","4","","","","",""
"2021/04/09 6:19:36 PM GMT+5:30","4","5","4","3","3","5","3","3","4","3","","","","","Fourth Year","4","3","5","4","3","3","3","4","7.1","3","3","4","4","","","","",""
"2021/04/09 6:42:52 PM GMT+5:30","5","2","5","2","5","5","4","2","1","5","","","","","Fourth Year","5","5","3","3","4","3","4","3","8.9","4","4","5","5","5","5","","",""
"2021/04/09 7:00:19 PM GMT+5:30","4","5","4","2","1","4","2","5","1","4","5","5","5","2","Third Year","2","4","5","4","5","4","5","5","6.2","5","4","5","5","4","2","60%","69.8%","5"
"2021/04/09 7:05:42 PM GMT+5:30","5","5","5","5","1","5","5","3","1","5","1","5","5","1","Third Year","5","1","5","5","5","5","5","5","8.5","1","5","5","5","3","1","80","80","5"
"2021/04/09 7:10:42 PM GMT+5:30","2","5","5","3","4","4","4","5","3","5","1","5","5","1","Fourth Year","4","5","4","3","4","3","5","5","8.06","4","4","3","4","4","5","89.6","86.8","5"
"2021/04/09 7:21:59 PM GMT+5:30","3","3","4","5","3","4","4","3","3","4","3","2","3","3","Third Year","4","3","4","4","3","3","4","3","6.94","4","3","3","4","3","3","74","64","3"
"2021/04/09 7:22:53 PM GMT+5:30","4","4","4","4","3","3","3","4","4","3","4","5","4","4","Third Year","4","2","3","5","3","4","5","5","6.68","4","5","3","4","4","3","74","NA","3"
"2021/04/09 7:29:04 PM GMT+5:30","4","4","5","3","3","4","3","4","4","5","5","3","3","4","Third Year","2","5","3","3","4","4","5","4","6","3","3","2","4","4","3","88","71","4"
"2021/04/09 7:45:55 PM GMT+5:30","5","5","5","4","3","5","5","2","1","5","3","4","5","3","Third Year","5","2","5","4","3","5","4","5","5.65","3","3","2","5","3","2","69","65","5"
"2021/04/09 7:53:44 PM GMT+5:30","5","4","5","3","4","5","3","5","5","3","1","5","4","2","Third Year","4","5","5","5","4","5","5","5","7.22","2","3","3","5","3","1","74.15%","66.15%","5"
"2021/04/09 7:53:54 PM GMT+5:30","4","5","3","4","5","5","5","5","5","5","5","5","5","5","Third Year","5","5","5","5","5","5","5","5","7.7","5","4","4","3","4","3","89.8","65.4","4"
"2021/04/09 8:01:47 PM GMT+5:30","5","5","4","3","4","4","3","5","2","4","5","3","4","5","Third Year","4","4","4","5","4","4","5","5","7.77","2","5","4","5","5","3","84.6","72","5"
"2021/04/09 8:27:27 PM GMT+5:30","2","4","5","5","1","4","5","4","5","5","5","1","3","5","Third Year","3","5","4","3","3","3","5","5","7.72","3","5","5","5","4","2","79","73.85","5"
"2021/04/09 8:30:11 PM GMT+5:30","5","5","5","4","1","5","5","1","1","5","5","5","5","5","Third Year","3","5","5","3","5","3","5","5","7.5","5","5","4","5","5","5","89.20","81","5"
"2021/04/09 8:33:02 PM GMT+5:30","5","5","4","2","3","4","5","4","4","5","5","4","4","5","Third Year","5","2","5","5","4","4","4","5","8.3","4","4","1","4","4","3","85","70","5"
"2021/04/09 8:33:08 PM GMT+5:30","4","4","5","4","3","4","3","5","3","4","1","5","5","1","Third Year","2","4","2","2","3","4","5","5","6.35","5","4","5","5","5","5","85","69","5"
"2021/04/09 8:33:29 PM GMT+5:30","3","4","5","4","2","4","3","4","2","5","3","3","3","4","Third Year","4","3","5","5","4","4","5","5","6.47","4","3","3","4","2","3","85.2","59.2","2"
"2021/04/09 8:35:03 PM GMT+5:30","5","5","5","4","1","5","5","5","1","5","1","5","5","3","Third Year","5","4","5","5","5","5","5","5","6.30","2","2","2","5","5","5","82%","84%","5"
"2021/04/09 8:36:38 PM GMT+5:30","4","5","5","3","3","4","4","2","3","5","2","4","5","2","Third Year","4","3","5","4","5","5","5","3","6.84","3","3","2","5","4","3","89.3","72","5"
"2021/04/09 8:41:16 PM GMT+5:30","5","5","5","1","3","5","5","1","1","5","3","5","5","1","Third Year","5","1","5","5","4","5","5","5","5.4","2","2","4","5","2","4","70(ICSE)","71","2"
"2021/04/09 8:56:17 PM GMT+5:30","5","5","5","4","5","4","5","5","5","5","5","5","4","3","Third Year","5","5","5","4","5","4","5","4","6.41","5","4","4","4","4","4","74","81","4"
"2021/04/09 8:59:54 PM GMT+5:30","4","5","3","2","3","4","2","5","3","5","5","4","2","3","Third Year","5","1","3","5","5","5","4","4","7.3","4","1","5","3","1","4","75%","70%","5"
"2021/04/09 9:35:32 PM GMT+5:30","4","4","3","3","3","5","4","5","4","5","3","3","5","5","Third Year","5","3","1","5","3","5","5","5","6.71","2","3","1","5","5","5","60%","71%","5"
"2021/04/09 10:07:53 PM GMT+5:30","5","5","5","5","3","4","5","2","1","5","4","5","5","1","Third Year","5","2","3","5","3","5","5","4","8.28","5","3","1","3","1","4","98.40","92.20","4"
"2021/04/09 10:11:38 PM GMT+5:30","5","5","5","1","3","5","5","1","1","5","3","5","5","1","Third Year","5","1","5","5","4","5","5","5","5.4","2","2","4","5","2","4","70(ICSE)","71","2"
"2021/04/09 11:52:57 PM GMT+5:30","4","5","5","4","2","4","2","3","2","5","3","4","5","4","Third Year","2","5","4","3","3","2","5","4","7.2","5","5","1","3","5","3","94","82","4"
"2021/04/10 5:01:15 AM GMT+5:30","5","5","3","4","1","4","3","1","2","5","3","5","5","3","Fourth Year","1","5","5","5","4","5","5","4","8.40","1","1","1","1","5","1","66.5","58.2","5"
"2021/04/10 8:56:36 AM GMT+5:30","4","5","4","4","4","5","5","3","1","5","4","5","4","3","Third Year","5","1","5","5","5","5","5","4","7.55","3","2","2","5","5","4","84%","66%","5"
"2021/04/10 10:53:28 AM GMT+5:30","4","5","3","4","2","4","3","2","2","5","3","3","5","4","Fourth Year","4","3","4","4","4","5","5","4","8.6","2","4","3","3","2","3","91.","85","2"
"2021/04/10 10:55:11 AM GMT+5:30","4","5","4","3","4","3","3","3","3","5","3","4","4","4","Second Year","4","4","3","3","3","3","4","4","8.6","3","3","4","4","4","4","91","71","5"
"2021/04/10 10:57:14 AM GMT+5:30","4","5","5","5","1","3","1","5","5","4","5","4","3","5","Second Year","5","1","5","5","5","5","5","5","8.09","4","4","2","5","1","5","85","70","2"
"2021/04/10 10:58:09 AM GMT+5:30","2","4","5","2","4","5","2","5","2","5","5","1","1","5","Third Year","1","5","2","5","2","4","4","2","7.0","5","5","2","2","1","1","80%","90%","5"
"2021/04/10 11:03:10 AM GMT+5:30","5","5","5","4","3","4","4","4","2","5","5","3","5","5","Second Year","5","3","5","5","4","5","5","5","8.92","5","5","5","5","3","4","95","84.6","5"
"2021/04/10 11:11:10 AM GMT+5:30","4","5","4","3","3","5","4","3","2","4","5","3","4","3","Second Year","4","4","4","3","3","4","5","4","DSE Student.... Hence 85.19%","4","2","4","5","5","3","85.20","85.19","4"
"2021/04/10 11:33:25 AM GMT+5:30","4","5","5","4","3","4","5","4","2","4","2","4","4","5","Second Year","4","4","4","4","4","4","5","5","6","4","4","3","4","4","4","72","60","5"
"2021/04/10 11:39:04 AM GMT+5:30","3","5","5","3","4","5","5","3","3","5","3","5","4","3","Second Year","3","4","5","5","5","3","5","3","83.35","1","3","3","4","3","3","85.80","71.54","4"
"2021/04/10 11:49:58 AM GMT+5:30","5","5","4","4","3","5","4","1","1","5","5","5","5","5","Second Year","5","3","4","5","5","5","5","5","5 .56","3","2","4","4","1","5","86.80","68","3"
"2021/04/10 11:50:35 AM GMT+5:30","5","5","5","4","5","5","5","5","1","5","5","5","5","4","Second Year","5","4","3","5","5","5","4","4","6.25","5","3","4","5","1","3","81.8","59.7","5"
"2021/04/10 11:59:48 AM GMT+5:30","4","5","4","4","3","3","2","2","1","5","3","3","3","3","Fourth Year","5","2","3","4","3","4","5","4","8.45","3","3","2","2","3","2","77.9","72","1"
"2021/04/10 12:10:48 PM GMT+5:30","4","5","5","4","4","5","3","4","3","4","4","4","5","4","Third Year","5","4","5","5","5","4","5","3","9.25","3","2","3","4","3","3","88","86","5"
"2021/04/10 12:17:58 PM GMT+5:30","5","5","5","5","2","4","2","2","1","5","3","5","5","4","Fourth Year","5","1","4","4","4","4","5","5","6.8","3","3","4","4","5","2","82","65","5"
"2021/04/10 12:25:32 PM GMT+5:30","5","5","4","4","5","5","5","4","4","5","5","5","4","4","Third Year","5","5","5","5","4","5","5","5","7.11","5","5","5","4","5","4","85.40","73.13 dip","5"
"2021/04/10 12:33:31 PM GMT+5:30","4","5","4","4","4","4","4","4","4","4","4","4","4","4","Second Year","5","4","4","4","4","5","4","4","7.2","4","4","4","5","4","4","90","55","4"
"2021/04/10 1:15:06 PM GMT+5:30","4","5","4","3","3","5","4","4","1","5","1","3","3","5","Second Year","4","4","3","4","5","4","5","5","Actually its my new addmission.","3","3","3","5","5","2","70.80","65.65","5"
"2021/04/10 1:18:40 PM GMT+5:30","4","2","3","4","2","3","5","5","4","3","5","4","3","5","Fourth Year","2","2","4","3","3","5","5","4","6.4","4","2","5","2","3","4","82.80","67.72","4"
"2021/04/10 2:20:47 PM GMT+5:30","4","4","4","5","4","5","4","5","4","4","4","4","4","4","Second Year","4","4","4","4","4","3","4","3","7.17","4","4","4","4","4","4","76","67","4"
"2021/04/10 2:22:27 PM GMT+5:30","5","4","2","4","3","2","5","2","4","4","3","3","5","1","Second Year","1","4","2","2","4","5","1","5","NA","1","3","1","4","1","5","67","NA","5"
"2021/04/10 2:22:33 PM GMT+5:30","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Second Year","5","5","5","5","5","5","5","5","76.80","5","5","5","5","5","5","68.81","50.89","5"
"2021/04/10 2:23:36 PM GMT+5:30","3","4","4","3","4","5","2","2","1","5","5","2","4","3","Second Year","3","3","3","3","4","4","5","4","5.8","4","4","2","4","5","3","86","62","4"
"2021/04/10 2:24:07 PM GMT+5:30","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Third Year","5","5","5","5","5","5","5","5","6 - 7","5","5","5","5","5","5","68","73","5"
"2021/04/10 2:25:53 PM GMT+5:30","5","5","5","1","5","3","5","5","3","5","3","1","5","1","Second Year","5","3","5","5","4","5","5","5","8.6","5","4","5","5","1","4","91","64","5"
"2021/04/10 2:28:48 PM GMT+5:30","5","5","5","3","4","5","5","3","1","5","5","3","5","5","Second Year","5","3","4","5","5","5","5","5","8.9","3","5","4","5","5","5","100","70","5"
"2021/04/10 2:37:55 PM GMT+5:30","5","5","4","3","2","4","5","2","1","5","2","5","4","2","Fourth Year","5","1","4","4","5","5","4","5","8.24","3","1","1","4","2","1","8.0","64.40","2"
"2021/04/10 2:41:34 PM GMT+5:30","5","5","5","3","1","5","4","1","2","5","2","5","5","4","Second Year","5","2","4","5","4","4","4","4","9.42","3","1","3","4","5","3","90.60","82","4"
"2021/04/10 2:42:19 PM GMT+5:30","5","5","5","4","3","5","5","5","1","5","3","4","4","2","Second Year","2","5","3","2","3","3","4","5","6.36","3","4","3","3","5","5","91.6%","62%","4"
"2021/04/10 3:14:05 PM GMT+5:30","4","5","4","2","4","4","4","4","2","2","5","4","4","5","Second Year","5","3","4","5","5","4","5","3","8.9","4","4","5","4","2","5","85","62","5"
"2021/04/10 3:18:27 PM GMT+5:30","5","5","5","2","3","5","4","2","1","5","3","5","5","3","Second Year","5","4","5","5","5","5","5","5","7.92","2","1","1","2","5","4","92","78","4"
"2021/04/10 3:18:32 PM GMT+5:30","5","5","5","4","4","5","5","5","5","4","4","5","4","4","Second Year","5","4","4","4","4","4","3","5","7.19","5","4","4","5","5","5","90","55","4"
"2021/04/10 3:19:59 PM GMT+5:30","5","4","5","4","4","5","3","5","4","4","4","4","3","4","Second Year","3","4","4","4","4","4","4","4","7.19","4","4","4","3","4","3","90","55","4"
"2021/04/10 3:28:41 PM GMT+5:30","4","5","4","2","4","4","4","4","2","2","5","4","4","5","Second Year","5","3","4","5","5","4","5","3","8.9","4","4","5","4","2","5","85","62","5"
"2021/04/10 3:30:14 PM GMT+5:30","4","5","4","3","3","4","3","4","5","5","5","4","4","5","Third Year","3","4","4","4","5","4","4","5","7.8","2","3","3","5","4","3","88","60","5"
"2021/04/10 3:54:08 PM GMT+5:30","4","5","3","4","4","4","4","2","2","5","4","3","3","3","Second Year","5","2","4","5","5","5","5","4","8.4","3","3","2","4","2","3","96","79","3"
"2021/04/10 6:27:46 PM GMT+5:30","5","5","5","3","3","5","5","3","3","5","2","5","5","4","Fourth Year","5","5","4","3","4","5","3","4","7.3","5","4","4","4","4","4","72","67","5"
"2021/04/10 6:43:00 PM GMT+5:30","5","5","5","5","5","5","5","5","5","5","1","5","5","1","Third Year","1","5","1","1","1","1","5","5","5.53","5","5","1","5","5","5","93","75","5"
"2021/04/10 7:06:49 PM GMT+5:30","3","4","4","5","4","4","5","4","3","4","5","4","4","4","Fourth Year","4","3","3","5","3","5","4","4","7.63","4","3","3","2","3","3","73","65","4"
"2021/04/10 9:23:08 PM GMT+5:30","5","5","5","4","5","5","4","5","5","4","4","5","4","3","Second Year","5","5","5","5","5","4","5","4","6.64","4","4","4","4","3","3","83","58","4"
"2021/04/10 9:34:06 PM GMT+5:30","5","5","5","3","1","4","5","1","4","5","5","1","4","5","Fourth Year","5","1","5","5","5","5","5","5","7.45","5","5","4","5","1","5","90","65","1"
"2021/04/10 9:37:14 PM GMT+5:30","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Third Year","5","5","5","5","5","5","5","5","6 - 7","5","5","5","5","5","5","68","73","5"
"2021/04/10 11:43:49 PM GMT+5:30","5","4","4","3","4","4","5","5","2","5","5","2","4","5","Third Year","4","1","4","4","5","4","5","4","9.21","4","3","2","5","2","2","92.4","82.7","4"
"2021/04/11 12:12:34 AM GMT+5:30","3","5","5","5","3","4","3","5","4","5","1","5","5","3","Third Year","5","1","5","5","5","3","5","3","9","2","3","2","5","3","1","95","96","5"
"2021/04/11 12:55:21 PM GMT+5:30","4","5","5","2","3","4","5","3","1","5","2","4","3","2","Second Year","4","2","4","4","5","5","4","3","9.12","3","2","1","4","1","1","10 CGPA","83.8%","5"
"2021/04/11 1:27:46 PM GMT+5:30","5","5","5","4","3","5","5","4","1","5","3","4","4","2","Third Year","4","2","5","5","5","5","4","5","7","4","3","2","3","4","3","85","68","4"
"2021/04/11 8:49:10 PM GMT+5:30","4","4","4","4","2","4","3","2","4","4","5","2","5","4","Third Year","2","4","3","4","4","4","5","5","9.22","5","5","5","5","4","1","85","60","5"
"2021/04/12 4:32:03 PM GMT+5:30","5","5","2","2","3","5","5","4","1","5","1","5","5","2","Second Year","5","3","4","5","5","5","5","5","7.86","3","1","2","5","3","3","80","61","1"
"2021/04/14 10:11:17 AM GMT+5:30","2","4","4","4","4","3","4","4","2","4","1","3","4","4","Fourth Year","1","5","4","2","4","4","4","4","7.29 ","4","5","1","4","5","5","90","60","5"